频率（MHz）,二次测电压值(RMS),电流值(mA),二次侧功率(mW),一次测电压值(RMS),电流值(mA),一次侧功率(mW),传输效率(%)
0.95,0.605,0.1,0.0605,9.83,59.7,586.851,0.010309261
0.951,0.606,0.1,0.0606,9.84,60.16,591.9744,0.010236929
0.952,0.642,0.1,0.0642,9.84,60.86,598.8624,0.010720326
0.953,0.66,0.1,0.066,9.85,60.78,598.683,0.011024198
0.954,0.708,0.1,0.0708,9.85,60.88,599.668,0.011806533
0.955,0.746,0.1,0.0746,9.86,61.38,605.2068,0.012326365
0.956,0.797,0.1,0.0797,9.86,61.4,605.404,0.013164763
0.957,0.853,0.1,0.0853,9.86,61.52,606.5872,0.014062282
0.958,0.864,0.1,0.0864,9.86,61.54,606.7844,0.014238995
0.959,0.921,0.1,0.0921,9.86,61.61,607.4746,0.015161128
0.96,0.961,0.1,0.0961,9.86,62.65,617.729,0.015556984
0.961,0.984,0.11,0.10824,9.86,63.1,622.166,0.017397286
0.962,1.03,0.11,0.1133,9.86,63.65,627.589,0.018053216
0.963,1.05,0.12,0.126,9.86,64.02,631.2372,0.019960801
0.964,1.08,0.12,0.1296,9.86,64.67,637.6462,0.020324751
0.965,1.12,0.13,0.1456,9.86,65.3,643.858,0.022613682
0.966,1.14,0.13,0.1482,9.86,66.01,650.8586,0.022769923
0.967,1.16,0.14,0.1624,9.86,66.8,658.648,0.024656569
0.968,1.19,0.15,0.1785,9.86,67,660.62,0.027020072
0.969,1.22,0.16,0.1952,9.86,67.1,661.606,0.029503965
0.97,1.22,0.17,0.2074,9.86,67.38,664.3668,0.031217695
0.971,1.23,0.17,0.2091,9.85,67.88,668.618,0.031273463
0.972,1.26,0.19,0.2394,9.85,68.02,669.997,0.035731503
0.973,1.3,0.2,0.26,9.83,68.52,673.5516,0.038601348
0.974,1.32,0.22,0.2904,9.83,68.55,673.8465,0.043095868
0.975,1.34,0.24,0.3216,9.83,69,678.27,0.047414746
0.976,1.36,0.26,0.3536,9.82,69.19,679.4458,0.052042415
0.977,1.4,0.28,0.392,9.82,69.58,683.2756,0.057370701
0.978,1.41,0.3,0.423,9.82,70.01,687.4982,0.061527434
0.979,1.46,0.34,0.4964,9.82,70.99,697.1218,0.071207069
0.98,1.49,0.36,0.5364,9.82,71.71,704.1922,0.076172386
0.981,1.53,0.39,0.5967,9.82,72.9,715.878,0.083352191
0.982,1.56,0.41,0.6396,9.82,73.6,722.752,0.088495085
0.983,1.6,0.43,0.688,9.82,74.98,736.3036,0.093439717
